country,date,gdp_per_capita,unemployment_rate,inflation_rate,exchange_rate
Bangladesh,2023,2551.01773827307,4.454,9.8835030377921,106.309484297483
Bangladesh,2022,2716.48592780431,4.593,7.69695437176898,91.7454544396961
Bangladesh,2021,2482.84917843357,5.327,5.54565430773473,85.08376325
Bangladesh,2020,2248.85078828233,5.436,5.69107474746211,84.8713916666667
China,2023,12951.1782397043,4.67,0.234836828893051,7.08399842343631
China,2022,12970.6056414327,4.98,1.97357555739051,6.73715811237119
China,2021,12887.4357242941,4.55,0.981015135544882,6.44897518024316
China,2020,10627.4637989619,5.0,2.41942189457782,6.90076726944925
"Korea, Rep.",2023,33121.3712885508,2.675,3.5974562502901,1305.6625
"Korea, Rep.",2022,32394.6833725203,2.857,5.08951365062842,1291.44666666667
"Korea, Rep.",2021,35125.5224984723,3.639,2.49833333333339,1143.95166666667
"Korea, Rep.",2020,31721.2989141857,3.931,0.537288023411737,1180.26583333333
Mexico,2023,13826.1306570122,2.765,5.52796087314389,17.7587166666667
Mexico,2022,11402.1410374782,3.256,7.8962761916855,20.12735
Mexico,2021,10314.0506725979,4.019,5.68920847683753,20.2724083333333
Mexico,2020,8841.2707511328,4.44,3.39683415570006,21.4856083333333
Viet Nam,2023,4323.35031982451,1.645,3.25289282667662,23787.3191666667
Viet Nam,2022,4147.69777213621,1.523,3.15650749963129,23271.2125
Viet Nam,2021,3704.1935590038,2.385,1.83471554810444,23159.7825925926
Viet Nam,2020,3534.03953482647,2.103,3.22093436652514,23208.3683333333
