country,product,avg_tariff,avg_exchange_rate,total_trade_value
Bangladesh,6109,16.3,92,1926987936
Viet Nam,6109,15.75,23356.67,1821154158
Mexico,6109,15.6,19.91,1921669403
China,6109,15.29,6.79,2504337605
"Korea, Rep.",6109,15.18,1230.33,41737420
Viet Nam,8708,1.3,23356.67,1745787474
"Korea, Rep.",8708,1.28,1230.33,21840132941
Mexico,8708,1.25,19.91,115029139801
China,8708,1.2,6.79,39923050173
Bangladesh,8708,1.18,94.31,522689
Viet Nam,8517,0,23356.67,74654269654
"Korea, Rep.",8517,0,1230.33,7378343906
Bangladesh,8517,0,92,601555
Mexico,8517,0,19.91,36886929916
China,8517,0,6.79,234920150129
